CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LON-WEI-4d77710c-2,0,6,6,0,94.31,182.5634726665346,4.4265000000000025
LON-WEI-4d77710c-4,0,4,3,2,63.13,166.0797501841626,5.3724200000000035
LON-WEI-4d77710c-5,0,4,5,2,81.59,149.70940880874187,3.1997000000000018
LON-WEI-4d77710c-6,0,3,4,2,80.2,143.64384044977183,3.3851000000000013
LON-WEI-4d77710c-8,0,6,9,0,132.96,178.65619271438686,2.13352
LON-WEI-4d77710c-9,0,4,5,2,89.16000000000003,144.17753612931398,3.597920000000002
LON-WEI-4d77710c-10,0,6,7,1,107.48,177.305964148909,2.7626000000000013
LON-WEI-4d77710c-11,0,5,9,0,132.96,172.29125059999024,1.7434200000000004
LON-WEI-4d77710c-12,0,4,5,2,89.42999999999998,155.12232779367528,3.3592000000000017
LON-WEI-4d77710c-13,0,5,4,2,72.36000000000001,146.7225909060214,2.958000000000001
LON-WEI-4d77710c-18,0,4,5,2,81.59,149.70940880874187,3.1997000000000018
LON-WEI-4d77710c-19,0,3,2,1,57.61,115.81954625210513,2.4683
LON-WEI-4d77710c-20,0,6,3,3,78.92,174.4679696456674,4.503000000000003
LON-WEI-4d77710c-22,0,4,4,2,76.02000000000002,145.06690844507122,3.6965000000000017
LON-WEI-4d77710c-23,0,2,3,2,63.13,145.61398244411018,4.2013000000000025
LON-WEI-4d77710c-24,0,7,6,1,68.28999999999999,187.91422244464403,5.896500000000003
LON-WEI-4d77710c-26,0,3,3,2,70.65,120.77985595287755,2.26802
LON-WEI-4d77710c-27,0,4,3,2,63.13,154.33892990530774,4.501800000000004
LON-WEI-4d77710c-28,0,7,5,2,81.59,175.16917726632823,3.996400000000003
LON-WEI-4d77710c-29,0,7,7,2,102.31999999999998,177.4421075026197,3.8636000000000026
LON-WEI-4d77710c-30,0,4,5,2,76.02000000000002,165.38893624721788,4.9112000000000045
LON-WEI-4d77710c-32,0,3,3,1,39.06,121.13637960608132,2.37978
LON-WEI-4d77710c-33,0,3,5,1,72.80000000000003,174.37331759939434,3.706900000000002
LON-WEI-4d77710c-36,0,3,4,2,72.36,154.8991298061166,4.152920000000003
LON-WEI-4d77710c-39,0,5,4,2,76.27000000000002,145.00653184259812,3.274300000000001
LON-WEI-4d77710c-40,0,6,3,2,63.13,160.0142689875201,4.669500000000004
LON-WEI-4d77710c-41,0,5,7,1,122.74,172.9500621104921,2.1107
LON-WEI-4d77710c-42,0,4,3,2,63.13,170.3011977681819,4.856600000000004
LON-WEI-4d77710c-43,0,5,4,2,72.36,173.99395614930646,5.271920000000004
LON-WEI-4d77710c-44,0,5,4,2,76.27000000000002,145.00653184259818,3.5722000000000014
LON-WEI-4d77710c-48,0,8,5,2,81.59,181.53411938072486,4.038900000000004
LON-WEI-4d77710c-51,0,6,5,2,89.16,163.27236247250372,3.6265400000000017
LON-WEI-4d77710c-55,0,5,5,2,81.59,167.7984039984024,3.7079000000000018
LON-WEI-4d77710c-58,0,5,6,2,85.25,176.86742359112134,4.919800000000004
LON-WEI-4d77710c-61,0,8,10,0,109.11,195.39557498886376,5.622200000000002
LON-WEI-4d77710c-62,0,0,5,4,108.05,66.65833580394896,-0.048700000000000236
LON-WEI-4d77710c-63,0,3,6,0,70.15,126.85299432651566,2.930740000000001
LON-WEI-4d77710c-64,0,6,4,1,46.17,179.05997910139274,6.940500000000003
LON-WEI-4d77710c-65,0,4,8,0,94.95,145.84353578280903,4.550000000000003
LON-WEI-4d77710c-66,0,3,9,0,86.97,139.2436910502295,2.555040000000001
LON-WEI-4d77710c-67,0,4,8,0,94.95,130.68703355210434,3.9059
LON-WEI-4d77710c-69,0,5,6,2,97.16,169.66942543567987,5.865300000000002
LON-WEI-4d77710c-70,0,2,5,0,58.68,102.10907525289964,2.38218
LON-WEI-4d77710c-71,0,4,8,0,94.7,126.84063247368759,3.0545000000000013
LON-WEI-4d77710c-73,0,4,8,0,93.17,159.6569931769322,3.304320000000001
LON-WEI-4d77710c-74,0,6,6,1,92.78,165.59464259606318,3.460500000000001
LON-WEI-4d77710c-75,0,4,4,1,66.48,143.58969103771938,3.592220000000002
LON-WEI-4d77710c-76,0,4,9,0,82.0,155.31379573429697,4.054000000000002
MAT-POS-02ae579f-1,0,8,3,1,62.55,216.47976948816049,6.463200000000006
MAT-POS-02ae579f-2,0,2,3,3,82.7,115.58124710043785,1.5105
LOR-NOR-f9b26152-1,0,1,3,1,55.4,78.67238532528627,0.9691
MAT-POS-2492181e-5,0,4,4,2,63.13,137.1226816201396,2.9642000000000017
MAT-POS-b5746674-34,0,9,5,2,79.51,169.8611918559913,3.5553000000000026
MAT-POS-b5746674-37,0,5,5,1,76.71000000000002,162.05410163396434,3.3446000000000025
MAT-POS-b5746674-38,0,8,5,1,76.71000000000002,169.42487490189012,3.9807000000000015
MAT-POS-b5746674-42,0,4,3,1,54.34,152.4221740651166,4.159300000000003
MAT-POS-b5746674-78,0,6,4,2,71.19,149.36650742635447,3.4985000000000017
MAT-POS-b5746674-97,0,3,5,2,92.67,156.64394667626846,2.2809
MAT-POS-b5746674-98,0,5,4,2,66.37,169.69608932398867,3.1084000000000014
MAT-POS-b5746674-100,0,7,4,2,83.44,164.26028567555485,2.791500000000002
MAT-POS-b5746674-101,0,4,3,1,54.34,170.51116925477723,4.678900000000004
MAT-POS-b5746674-107,0,5,3,1,54.34,183.24105348357045,5.144100000000004
MAT-POS-b5746674-108,0,7,4,2,66.37,195.155857781575,4.609520000000004
MAT-POS-ea426761-10,0,6,5,2,79.89999999999998,153.50863359153246,4.011300000000002
MAT-POS-ea426761-13,0,2,4,1,55.13,102.90601094590357,2.9316000000000013
MAT-POS-ea426761-45,0,4,5,1,52.23,148.0885910161145,3.091000000000001
MAT-POS-af71705c-2,0,4,5,2,78.73,174.56154783008373,4.0028000000000015
JOH-UNI-591f77bd-1,0,4,5,2,66.84,144.83437982002675,2.5691999999999995
EDJ-MED-0e996074-1,0,3,5,1,69.04,121.68324077034487,2.1178
MAT-POS-3d050446-1,0,6,4,2,77.81,148.64645048480557,3.6056800000000018
LOR-NOR-30067bb9-1,0,1,3,1,49.41,93.24213355271709,1.4216
LOR-NOR-30067bb9-2,0,3,4,1,72.47,126.45535045726105,2.4868200000000003
LOR-NOR-30067bb9-3,0,5,3,0,46.61,132.80706607069428,3.338400000000002
LOR-NOR-30067bb9-5,0,4,3,0,46.61,132.80706607069428,3.2567200000000014
LOR-NOR-30067bb9-6,0,4,3,0,46.61,136.37134744945394,3.577300000000002
LOR-NOR-30067bb9-7,0,4,4,0,55.84,147.84983479335742,3.5042200000000028
LOR-NOR-30067bb9-12,0,2,3,1,66.48,125.00691864072466,1.8931
MAT-POS-c9973a83-1,0,4,3,1,51.22,122.2961095041343,3.233220000000001
COM-UCB-8c7d23dc-15,0,3,5,2,87.97,130.57663625714434,2.3717
COM-UCB-8c7d23dc-18,0,2,6,2,105.81,141.05690634483943,2.2719400000000003
JAG-UCB-119787ef-1,0,3,5,1,69.04,131.98650699722654,2.771200000000001
BRU-THA-a358fbdd-2,0,3,5,1,69.04,128.0481828847415,2.2919
BRU-THA-a358fbdd-7,0,3,5,1,69.04,125.8487761732711,2.2569
LON-WEI-0a73fcb8-2,0,3,4,0,51.66,139.3436792955005,3.2727000000000017
LON-WEI-0a73fcb8-3,0,2,5,1,68.52000000000001,140.7620756980949,3.026600000000001
LON-WEI-0a73fcb8-4,0,4,5,1,69.03999999999999,144.71639122601974,2.7573200000000013
LON-WEI-0a73fcb8-5,0,2,3,0,42.43000000000001,138.16845817847866,3.917500000000003
LON-WEI-0a73fcb8-6,0,3,4,1,51.22,138.0254679642064,4.424700000000003
LON-WEI-0a73fcb8-7,0,3,4,2,71.45,132.44945421719768,2.7321000000000013
LON-WEI-1908424e-1,0,5,5,1,90.06,108.5864635634586,1.1077
LON-WEI-1908424e-3,0,3,9,1,102.52,164.22316067706996,1.2077999999999998
LON-WEI-1908424e-4,0,4,7,2,107.85,169.25294136824138,2.9106700000000005
LON-WEI-1908424e-6,0,9,7,1,100.0,173.584476950165,2.9160000000000013
LON-WEI-1908424e-11,0,4,5,1,79.6,168.28490614187768,3.2268000000000017
LON-WEI-1908424e-15,0,2,6,2,102.48,114.03257839734287,1.0921199999999998
NAU-LAT-8502cac5-2,0,3,5,1,69.04,125.62156488282992,2.3811
NAU-LAT-8502cac5-6,0,3,5,1,69.04,142.5896638992334,3.035400000000002
NAU-LAT-8502cac5-8,0,3,6,1,93.95,133.19509392262458,1.5127
ADA-UCB-6c2cb422-1,0,3,2,1,41.99,127.13434457756941,4.069400000000002
ADA-UCB-6c2cb422-3,0,3,3,2,54.02,124.1532133066178,2.21692
IAN-BAS-5394d4c4-1,0,6,4,3,91.81,183.63939792955588,4.265400000000001
JAG-UCB-c37fbdcd-1,0,4,3,1,65.64,160.46821225357934,3.6323000000000025
JAN-GHE-c863d918-1,0,4,3,2,71.92,122.41012843702974,1.5259799999999992
VLA-UCB-00f2c2b3-2,0,3,3,2,70.67,115.59328243544986,2.44752
LON-WEI-ff7b210a-2,0,4,6,0,94.31,153.6441092844261,3.3704000000000027
LON-WEI-ff7b210a-3,0,3,3,1,55.4,127.96916743942964,2.895900000000001
LON-WEI-ff7b210a-4,0,5,5,1,89.02,161.7197627290279,3.3766000000000016
LON-WEI-ff7b210a-5,0,3,6,0,86.22,97.5341994771953,0.7101999999999999
LON-WEI-ff7b210a-11,0,3,4,0,29.43,118.15987962834848,4.012100000000002
ALP-POS-d2866bdf-1,0,6,6,0,54.26000000000001,167.16885435251731,3.792200000000003
ROD-LAS-d5538ff9-3,0,3,3,2,70.14,94.35076007284832,1.4400999999999995
ROD-LAS-d5538ff9-4,0,6,5,2,70.79,184.7865957560638,4.716700000000003
ROD-LAS-d5538ff9-9,0,3,5,2,110.05,129.8886221233455,3.1820000000000004
LON-WEI-babf2c61-1,0,8,3,1,62.3,210.19154142245682,5.790800000000004
LON-WEI-babf2c61-2,0,8,3,1,62.3,206.25321730997175,5.445820000000005
LON-WEI-babf2c61-3,0,8,4,1,86.09,210.64579699144048,5.009080000000004
LON-WEI-babf2c61-4,0,8,4,2,82.53,204.68250894777114,4.843000000000004
LON-WEI-babf2c61-5,0,8,3,1,62.3,203.5933212880457,5.512100000000004
LON-WEI-babf2c61-6,0,8,3,1,62.3,199.6549971755606,5.167120000000004
LON-WEI-babf2c61-7,0,8,4,1,86.09,204.04757685702938,4.730380000000004
LON-WEI-babf2c61-8,0,8,4,2,82.53,198.08428881336,4.564300000000004
LON-WEI-babf2c61-9,0,8,3,1,62.3,193.29005506116403,4.858700000000004
LON-WEI-babf2c61-10,0,8,5,1,88.33,191.85360874636777,4.125400000000004
LON-WEI-babf2c61-11,0,8,5,1,88.33,202.15687497324944,4.778800000000004
LON-WEI-babf2c61-13,0,8,5,1,88.33,198.2185508607644,4.4338200000000025
JAG-UCB-4709a583-1,0,3,6,1,75.42,136.4624767168117,1.9951
DAR-DIA-8e329c92-9,0,4,2,2,61.96,150.03920709686332,3.6538000000000017
JAG-UCB-ef2c0e8e-2,0,2,2,2,58.2,101.54059871089576,1.6662
JAG-UCB-ef2c0e8e-7,0,3,5,3,104.7,120.91416997808363,0.8438999999999994
JAG-UCB-ef2c0e8e-8,0,4,3,1,80.47,119.36713124081557,1.02212
ERI-BAS-37e2bb46-1,0,4,6,2,93.18,166.53790633404267,3.2757000000000014
ERI-BAS-bd3ef700-1,0,6,4,3,103.01000000000002,174.25880948208766,3.2242200000000016
ALP-POS-c59291d4-1,0,6,5,0,51.02,183.73623065958472,5.393200000000005
ALP-POS-c59291d4-2,0,7,6,1,80.12,177.48534708036235,4.074700000000003
ALP-POS-c59291d4-3,0,7,6,1,80.12,182.8444580412297,4.074700000000003
ALP-POS-c59291d4-4,0,6,6,1,63.05,160.5939407515254,3.7679000000000022
ALP-POS-c59291d4-6,0,5,4,1,75.44,189.20667208891004,5.274900000000005
ALP-POS-c0c213c9-9,0,8,7,0,78.07000000000002,202.58856429596176,4.4268000000000045
ALP-POS-c0c213c9-14,0,6,5,0,63.91,169.03033938437642,3.653000000000002
MAT-POS-c79fcd02-1,0,8,7,1,87.5,178.89932161382774,3.5572000000000017
ALP-POS-91609ae9-1,0,4,2,1,52.23,128.08558292770442,2.8093200000000014
ALP-POS-91609ae9-2,0,4,4,1,62.46,137.8566764741143,3.1249200000000017
ALP-POS-91609ae9-3,0,3,3,1,65.12,137.22546477999762,3.0535000000000005
EDJ-MED-6af13d92-1,0,6,4,2,80.41999999999999,150.31451725293513,2.6539200000000007
EDJ-MED-6af13d92-2,0,6,4,2,80.41999999999999,148.1151105414647,2.4846000000000004
EDJ-MED-6af13d92-3,0,7,5,2,89.64999999999998,155.42806248244204,2.3541
BEN-BAS-baaab58b-1,0,6,4,5,135.53,147.16083297581227,0.20060000000000014
MAT-POS-ee51dedd-1,0,3,3,0,47.34,117.7221442299415,1.44128
MAT-POS-ee51dedd-2,0,3,4,0,57.69000000000001,115.00081948250616,0.8197999999999999
MAT-POS-ee51dedd-3,0,4,2,1,32.34,149.91560466895618,4.609200000000003
LOR-NEU-c8f11034-5,0,2,2,0,37.38,118.52791799115387,3.178600000000001
BEN-BAS-0534ec5c-1,0,5,5,3,104.7,182.8274994789071,3.658800000000001
EDJ-MED-c9f55a56-1,0,3,3,2,70.67,99.27656001811128,1.6027399999999996
ALP-POS-90c18d1d-1,0,5,4,2,65.46000000000001,148.25224488859897,2.9166200000000013
NAU-LAT-445f63e5-5,0,5,4,1,62.3,130.5974964711878,2.6237000000000013
NAU-LAT-445f63e5-7,0,5,4,1,68.29,136.31615014488796,2.1518
BAR-COM-0f94fc3d-3,0,6,3,2,67.42999999999999,158.6066577781861,3.517900000000002
BAR-COM-0f94fc3d-18,0,3,3,1,46.92,120.78068777562021,3.1225200000000006
BAR-COM-0f94fc3d-25,0,3,3,1,59.06,133.06813944993522,3.2828200000000014
BAR-COM-0f94fc3d-28,0,3,4,1,60.45,132.76876569450857,2.995820000000001
BAR-COM-0f94fc3d-38,0,4,3,2,62.22,128.34174014122004,3.279720000000002
BAR-COM-0f94fc3d-41,0,3,3,1,46.92,126.91841859957563,3.636820000000002
BAR-COM-0f94fc3d-43,0,4,5,1,69.03999999999999,151.3812240155415,3.3345000000000016
BAR-COM-0f94fc3d-45,0,4,4,1,75.00999999999998,133.28084259044078,3.0172800000000013
BAR-COM-0f94fc3d-48,0,3,4,1,71.53,137.57657623524887,2.40752
BAR-COM-0f94fc3d-49,0,4,3,1,41.99,135.0914032627716,3.863500000000003
BAR-COM-0f94fc3d-55,0,5,3,2,79.29,155.18492677299895,4.142420000000002
BAR-COM-0f94fc3d-58,0,4,4,2,77.24,131.20028157990672,2.7996200000000013
ERI-UCB-5b47150d-2,0,3,3,0,42.43,89.87560478657713,1.38772
ERI-UCB-5b47150d-5,0,3,2,0,33.2,94.28670592086388,1.95842
ERI-UCB-5b47150d-6,0,3,2,1,41.99,87.71179231987195,1.93412
MAT-POS-590ac91e-1,0,3,3,1,51.22,83.30069118558522,1.36342
MAT-POS-590ac91e-2,0,3,3,1,51.22,83.30069118558522,1.36342
MAT-POS-590ac91e-4,0,2,3,1,51.22,94.01891310731995,1.5075199999999995
MAT-POS-590ac91e-5,0,4,2,1,41.99,96.27614114573893,2.7647200000000014
MAT-POS-590ac91e-7,0,4,3,2,62.22,94.7054327835383,1.4895199999999995
MAT-POS-590ac91e-9,0,4,3,1,51.22,95.0247442608492,1.89762
MAT-POS-590ac91e-10,0,5,3,1,51.22,95.02474426084919,1.89762
MAT-POS-590ac91e-11,0,4,2,1,41.99,97.28197229926813,3.010720000000002
MAT-POS-590ac91e-12,0,2,4,2,80.32000000000002,92.00624431570778,0.4369199999999999
MAT-POS-590ac91e-18,0,3,2,1,41.99,101.63525210660627,2.7647200000000014
MAT-POS-590ac91e-20,0,2,2,1,41.99,101.63525210660627,2.683040000000001
MAT-POS-590ac91e-21,0,2,2,1,41.99,101.63525210660629,2.9088200000000013
MAT-POS-590ac91e-22,0,2,2,1,41.99,101.63525210660629,2.9088200000000013
MAT-POS-590ac91e-23,0,3,2,1,41.99,101.63525210660627,2.7647200000000014
MAT-POS-590ac91e-24,0,3,2,1,41.99,101.63525210660629,2.9088200000000013
MAT-POS-590ac91e-25,0,3,2,1,41.99,101.63525210660629,2.9088200000000013
MAT-POS-590ac91e-29,0,2,3,1,51.22,100.38385522171656,1.89762
MAT-POS-590ac91e-30,0,3,4,2,80.41999999999999,147.10927938793546,2.237
MAT-POS-590ac91e-32,0,6,4,2,80.41999999999999,148.1151105414647,2.4846000000000004
MAT-POS-590ac91e-33,0,3,4,1,71.63,153.6841929889274,2.5792
MAT-POS-590ac91e-34,0,3,4,1,71.63,153.68419298892738,2.5792
MAT-POS-590ac91e-35,0,3,4,2,80.41999999999999,153.47422150233209,2.409300000000001
MAT-POS-590ac91e-37,0,6,4,1,71.63,154.69002414245662,2.8268000000000004
MAT-POS-590ac91e-38,0,6,4,2,80.41999999999999,154.48005265586133,2.8731000000000013
MAT-POS-590ac91e-39,0,6,4,2,80.41999999999999,154.48005265586133,2.8731000000000013
