id,pose,plants
EDG-MED-0da5ad92-3,1,-70.854
EDG-MED-0da5ad92-3,2,-67.7562
EDG-MED-0da5ad92-3,3,-64.9354
EDG-MED-0da5ad92-3,4,-64.2132
EDG-MED-0da5ad92-3,5,-63.8969
EDG-MED-0da5ad92-3,6,-63.8714
EDG-MED-0da5ad92-3,7,-63.0853
EDG-MED-0da5ad92-3,8,-62.6801
EDG-MED-0da5ad92-3,9,-62.3652
EDG-MED-0da5ad92-3,10,-61.7647
DAR-DIA-23aa0b97-19,1,-79.4982
DAR-DIA-23aa0b97-19,2,-77.2563
DAR-DIA-23aa0b97-19,3,-74.9929
DAR-DIA-23aa0b97-19,4,-74.6499
DAR-DIA-23aa0b97-19,5,-73.8121
DAR-DIA-23aa0b97-19,6,-73.314
DAR-DIA-23aa0b97-19,7,-73.068
DAR-DIA-23aa0b97-19,8,-72.8178
DAR-DIA-23aa0b97-19,9,-72.7683
DAR-DIA-23aa0b97-19,10,-72.6427
MAT-POS-590ac91e-22,1,-70.4662
MAT-POS-590ac91e-22,2,-63.3216
MAT-POS-590ac91e-22,3,-62.5969
MAT-POS-590ac91e-22,4,-61.026
MAT-POS-590ac91e-22,5,-60.6093
MAT-POS-590ac91e-22,6,-59.3712
MAT-POS-590ac91e-22,7,-57.4148
MAT-POS-590ac91e-22,8,-57.3959
MAT-POS-590ac91e-22,9,-56.9173
MAT-POS-590ac91e-22,10,-56.6419
LON-WEI-1908424e-3,1,-90.5268
LON-WEI-1908424e-3,2,-82.2955
LON-WEI-1908424e-3,3,-80.7645
LON-WEI-1908424e-3,4,-80.7337
LON-WEI-1908424e-3,5,-80.5298
LON-WEI-1908424e-3,6,-79.212
LON-WEI-1908424e-3,7,-78.7332
LON-WEI-1908424e-3,8,-78.3155
LON-WEI-1908424e-3,9,-78.2818
LON-WEI-1908424e-3,10,-78.2657
GIA-UNK-30c7cb75-1,1,-76.6202
GIA-UNK-30c7cb75-1,2,-70.8356
GIA-UNK-30c7cb75-1,3,-70.2067
GIA-UNK-30c7cb75-1,4,-69.8062
GIA-UNK-30c7cb75-1,5,-66.9347
GIA-UNK-30c7cb75-1,6,-66.8983
GIA-UNK-30c7cb75-1,7,-66.7207
GIA-UNK-30c7cb75-1,8,-65.8653
GIA-UNK-30c7cb75-1,9,-65.3202
GIA-UNK-30c7cb75-1,10,-64.4923
LON-WEI-1908424e-14,1,-76.7615
LON-WEI-1908424e-14,2,-74.5803
LON-WEI-1908424e-14,3,-74.2584
LON-WEI-1908424e-14,4,-73.8519
LON-WEI-1908424e-14,5,-71.082
LON-WEI-1908424e-14,6,-69.1236
LON-WEI-1908424e-14,7,-69.0756
LON-WEI-1908424e-14,8,-68.6916
LON-WEI-1908424e-14,9,-68.6334
LON-WEI-1908424e-14,10,-68.5942
LON-WEI-1908424e-17,1,-97.8877
LON-WEI-1908424e-17,2,-92.8619
LON-WEI-1908424e-17,3,-89.4164
LON-WEI-1908424e-17,4,-86.7407
LON-WEI-1908424e-17,5,-84.184
LON-WEI-1908424e-17,6,-83.8294
LON-WEI-1908424e-17,7,-83.7904
LON-WEI-1908424e-17,8,-83.3947
LON-WEI-1908424e-17,9,-82.7428
