id,pose,qvina
MAR-UNI-c84db004-13,1,-9.0
MAR-UNI-c84db004-13,2,-8.9
MAR-UNI-c84db004-13,3,-8.9
MAR-UNI-c84db004-13,4,-8.8
MAR-UNI-c84db004-13,5,-8.7
MAR-UNI-c84db004-13,6,-8.7
MAR-UNI-c84db004-13,7,-8.7
MAR-UNI-c84db004-13,8,-8.7
MAR-UNI-c84db004-13,9,-8.6
MAR-UNI-c84db004-13,10,-8.6
BAR-COM-4e090d3a-53,1,-7.5
BAR-COM-4e090d3a-53,2,-7.0
BAR-COM-4e090d3a-53,3,-6.9
BAR-COM-4e090d3a-53,4,-6.8
BAR-COM-4e090d3a-53,5,-6.8
BAR-COM-4e090d3a-53,6,-6.8
BAR-COM-4e090d3a-53,7,-6.7
BAR-COM-4e090d3a-53,8,-6.7
BAR-COM-4e090d3a-53,9,-6.7
BAR-COM-4e090d3a-53,10,-6.6
TRY-UNI-714a760b-6,1,-6.4
TRY-UNI-714a760b-6,2,-6.3
TRY-UNI-714a760b-6,3,-6.3
TRY-UNI-714a760b-6,4,-6.2
TRY-UNI-714a760b-6,5,-6.1
TRY-UNI-714a760b-6,6,-6.1
TRY-UNI-714a760b-6,7,-6.1
TRY-UNI-714a760b-6,8,-6.0
TRY-UNI-714a760b-6,9,-6.0
TRY-UNI-714a760b-6,10,-5.9
EDJ-MED-c9f55a56-1,1,-6.2
EDJ-MED-c9f55a56-1,2,-6.2
EDJ-MED-c9f55a56-1,3,-5.9
EDJ-MED-c9f55a56-1,4,-5.9
EDJ-MED-c9f55a56-1,5,-5.8
EDJ-MED-c9f55a56-1,6,-5.7
EDJ-MED-c9f55a56-1,7,-5.7
EDJ-MED-c9f55a56-1,8,-5.7
EDJ-MED-c9f55a56-1,9,-5.7
EDJ-MED-c9f55a56-1,10,-5.6
LON-WEI-0a73fcb8-7,1,-7.4
LON-WEI-0a73fcb8-7,2,-6.8
LON-WEI-0a73fcb8-7,3,-6.8
LON-WEI-0a73fcb8-7,4,-6.7
LON-WEI-0a73fcb8-7,5,-6.7
LON-WEI-0a73fcb8-7,6,-6.6
LON-WEI-0a73fcb8-7,7,-6.5
LON-WEI-0a73fcb8-7,8,-6.5
LON-WEI-0a73fcb8-7,9,-6.5
LON-WEI-0a73fcb8-7,10,-6.4
MAT-POS-590ac91e-3,1,-5.6
MAT-POS-590ac91e-3,2,-5.5
MAT-POS-590ac91e-3,3,-5.5
MAT-POS-590ac91e-3,4,-5.4
MAT-POS-590ac91e-3,5,-5.4
MAT-POS-590ac91e-3,6,-5.3
MAT-POS-590ac91e-3,7,-5.3
MAT-POS-590ac91e-3,8,-5.2
MAT-POS-590ac91e-3,9,-5.2
MAT-POS-590ac91e-3,10,-5.2
LON-WEI-0a73fcb8-5,1,-7.1
LON-WEI-0a73fcb8-5,2,-6.7
LON-WEI-0a73fcb8-5,3,-6.4
LON-WEI-0a73fcb8-5,4,-6.4
LON-WEI-0a73fcb8-5,5,-6.3
LON-WEI-0a73fcb8-5,6,-6.2
LON-WEI-0a73fcb8-5,7,-6.2
LON-WEI-0a73fcb8-5,8,-6.2
LON-WEI-0a73fcb8-5,9,-6.2
LON-WEI-0a73fcb8-5,10,-6.1
MAT-POS-916a2c5a-1,1,-6.6
MAT-POS-916a2c5a-1,2,-6.5
MAT-POS-916a2c5a-1,3,-6.4
MAT-POS-916a2c5a-1,4,-6.3
MAT-POS-916a2c5a-1,5,-6.3
MAT-POS-916a2c5a-1,6,-6.1
MAT-POS-916a2c5a-1,7,-6.1
MAT-POS-916a2c5a-1,8,-6.0
MAT-POS-916a2c5a-1,9,-5.9
MAT-POS-916a2c5a-1,10,-5.9
LON-WEI-d1c9908a-5,1,-6.9
LON-WEI-d1c9908a-5,2,-6.7
LON-WEI-d1c9908a-5,3,-6.5
LON-WEI-d1c9908a-5,4,-6.5
LON-WEI-d1c9908a-5,5,-6.5
LON-WEI-d1c9908a-5,6,-6.3
LON-WEI-d1c9908a-5,7,-6.2
LON-WEI-d1c9908a-5,8,-6.2
LON-WEI-d1c9908a-5,9,-6.2
LON-WEI-d1c9908a-5,10,-6.1
LON-WEI-babf2c61-7,1,-8.0
LON-WEI-babf2c61-7,2,-7.7
LON-WEI-babf2c61-7,3,-7.7
LON-WEI-babf2c61-7,4,-7.6
LON-WEI-babf2c61-7,5,-7.5
LON-WEI-babf2c61-7,6,-7.5
LON-WEI-babf2c61-7,7,-7.4
LON-WEI-babf2c61-7,8,-7.4
LON-WEI-babf2c61-7,9,-7.3
LON-WEI-babf2c61-7,10,-7.3
BEN-DND-031a96cc-8,1,-6.4
BEN-DND-031a96cc-8,2,-6.4
BEN-DND-031a96cc-8,3,-6.2
BEN-DND-031a96cc-8,4,-6.1
BEN-DND-031a96cc-8,5,-6.0
BEN-DND-031a96cc-8,6,-6.0
BEN-DND-031a96cc-8,7,-5.8
BEN-DND-031a96cc-8,8,-5.8
BEN-DND-031a96cc-8,9,-5.8
BEN-DND-031a96cc-8,10,-5.8
LON-WEI-adc59df6-17,1,-6.1
LON-WEI-adc59df6-17,2,-5.8
LON-WEI-adc59df6-17,3,-5.8
LON-WEI-adc59df6-17,4,-5.7
LON-WEI-adc59df6-17,5,-5.6
LON-WEI-adc59df6-17,6,-5.6
LON-WEI-adc59df6-17,7,-5.5
LON-WEI-adc59df6-17,8,-5.5
LON-WEI-adc59df6-17,9,-5.4
LON-WEI-adc59df6-17,10,-5.3
LON-WEI-adc59df6-53,1,-6.5
LON-WEI-adc59df6-53,2,-6.2
LON-WEI-adc59df6-53,3,-6.2
LON-WEI-adc59df6-53,4,-6.0
LON-WEI-adc59df6-53,5,-5.9
LON-WEI-adc59df6-53,6,-5.8
LON-WEI-adc59df6-53,7,-5.8
LON-WEI-adc59df6-53,8,-5.6
LON-WEI-adc59df6-53,9,-5.6
LON-WEI-adc59df6-53,10,-5.6
ALP-POS-95b75b4d-6,1,-6.4
ALP-POS-95b75b4d-6,2,-6.3
ALP-POS-95b75b4d-6,3,-6.3
ALP-POS-95b75b4d-6,4,-6.2
ALP-POS-95b75b4d-6,5,-6.2
ALP-POS-95b75b4d-6,6,-6.1
ALP-POS-95b75b4d-6,7,-6.1
ALP-POS-95b75b4d-6,8,-6.0
ALP-POS-95b75b4d-6,9,-5.9
ALP-POS-95b75b4d-6,10,-5.9
NAU-LAT-8502cac5-8,1,-6.5
NAU-LAT-8502cac5-8,2,-6.5
NAU-LAT-8502cac5-8,3,-6.5
NAU-LAT-8502cac5-8,4,-6.3
NAU-LAT-8502cac5-8,5,-6.3
NAU-LAT-8502cac5-8,6,-6.2
NAU-LAT-8502cac5-8,7,-6.2
NAU-LAT-8502cac5-8,8,-6.1
NAU-LAT-8502cac5-8,9,-6.1
NAU-LAT-8502cac5-8,10,-6.1
LON-WEI-babf2c61-12,1,-7.5
LON-WEI-babf2c61-12,2,-7.3
LON-WEI-babf2c61-12,3,-7.3
LON-WEI-babf2c61-12,4,-7.3
LON-WEI-babf2c61-12,5,-7.2
LON-WEI-babf2c61-12,6,-7.0
LON-WEI-babf2c61-12,7,-6.9
LON-WEI-babf2c61-12,8,-6.9
LON-WEI-babf2c61-12,9,-6.8
LON-WEI-babf2c61-12,10,-6.8
TRY-UNI-714a760b-3,1,-6.2
TRY-UNI-714a760b-3,2,-6.1
TRY-UNI-714a760b-3,3,-6.1
TRY-UNI-714a760b-3,4,-6.1
TRY-UNI-714a760b-3,5,-6.0
TRY-UNI-714a760b-3,6,-5.9
TRY-UNI-714a760b-3,7,-5.9
TRY-UNI-714a760b-3,8,-5.9
TRY-UNI-714a760b-3,9,-5.8
TRY-UNI-714a760b-3,10,-5.7
MAR-UNI-c84db004-4,1,-7.9
MAR-UNI-c84db004-4,2,-7.8
MAR-UNI-c84db004-4,3,-7.6
MAR-UNI-c84db004-4,4,-7.5
MAR-UNI-c84db004-4,5,-7.2
MAR-UNI-c84db004-4,6,-7.2
MAR-UNI-c84db004-4,7,-7.1
MAR-UNI-c84db004-4,8,-7.0
MAR-UNI-c84db004-4,9,-6.9
MAR-UNI-c84db004-4,10,-6.9
MAT-POS-590ac91e-7,1,-5.5
MAT-POS-590ac91e-7,2,-5.4
MAT-POS-590ac91e-7,3,-5.3
MAT-POS-590ac91e-7,4,-5.2
MAT-POS-590ac91e-7,5,-5.2
MAT-POS-590ac91e-7,6,-5.2
MAT-POS-590ac91e-7,7,-5.1
MAT-POS-590ac91e-7,8,-5.1
MAT-POS-590ac91e-7,9,-5.1
MAT-POS-590ac91e-7,10,-5.1
GIA-UNK-595fac82-3,1,-6.2
GIA-UNK-595fac82-3,2,-6.1
GIA-UNK-595fac82-3,3,-5.9
GIA-UNK-595fac82-3,4,-5.9
GIA-UNK-595fac82-3,5,-5.9
GIA-UNK-595fac82-3,6,-5.6
GIA-UNK-595fac82-3,7,-5.5
GIA-UNK-595fac82-3,8,-5.5
GIA-UNK-595fac82-3,9,-5.5
GIA-UNK-595fac82-3,10,-5.5
DAR-DIA-23aa0b97-13,1,-5.7
DAR-DIA-23aa0b97-13,2,-5.5
DAR-DIA-23aa0b97-13,3,-5.4
DAR-DIA-23aa0b97-13,4,-5.4
DAR-DIA-23aa0b97-13,5,-5.4
DAR-DIA-23aa0b97-13,6,-5.3
DAR-DIA-23aa0b97-13,7,-5.3
DAR-DIA-23aa0b97-13,8,-5.3
DAR-DIA-23aa0b97-13,9,-5.2
DAR-DIA-23aa0b97-13,10,-5.2
VLA-UCB-00f2c2b3-2,1,-6.5
VLA-UCB-00f2c2b3-2,2,-6.5
VLA-UCB-00f2c2b3-2,3,-6.3
VLA-UCB-00f2c2b3-2,4,-6.1
VLA-UCB-00f2c2b3-2,5,-6.1
VLA-UCB-00f2c2b3-2,6,-6.0
VLA-UCB-00f2c2b3-2,7,-6.0
VLA-UCB-00f2c2b3-2,8,-6.0
VLA-UCB-00f2c2b3-2,9,-6.0
VLA-UCB-00f2c2b3-2,10,-6.0
LOR-NEU-c8f11034-6,1,-6.1
LOR-NEU-c8f11034-6,2,-6.1
LOR-NEU-c8f11034-6,3,-5.9
LOR-NEU-c8f11034-6,4,-5.9
LOR-NEU-c8f11034-6,5,-5.9
LOR-NEU-c8f11034-6,6,-5.8
LOR-NEU-c8f11034-6,7,-5.7
LOR-NEU-c8f11034-6,8,-5.7
LOR-NEU-c8f11034-6,9,-5.7
LOR-NEU-c8f11034-6,10,-5.7
LON-WEI-adc59df6-16,1,-7.2
LON-WEI-adc59df6-16,2,-7.1
LON-WEI-adc59df6-16,3,-7.0
LON-WEI-adc59df6-16,4,-6.9
LON-WEI-adc59df6-16,5,-6.9
LON-WEI-adc59df6-16,6,-6.8
LON-WEI-adc59df6-16,7,-6.7
LON-WEI-adc59df6-16,8,-6.7
LON-WEI-adc59df6-16,9,-6.7
LON-WEI-adc59df6-16,10,-6.6
MAT-POS-590ac91e-59,1,-8.5
MAT-POS-590ac91e-59,2,-8.5
MAT-POS-590ac91e-59,3,-8.4
MAT-POS-590ac91e-59,4,-8.4
MAT-POS-590ac91e-59,5,-8.3
MAT-POS-590ac91e-59,6,-8.2
MAT-POS-590ac91e-59,7,-8.2
MAT-POS-590ac91e-59,8,-8.1
MAT-POS-590ac91e-59,9,-8.1
MAT-POS-590ac91e-59,10,-8.0
ANT-DIA-b7f58f21-3,1,-5.3
ANT-DIA-b7f58f21-3,2,-5.2
ANT-DIA-b7f58f21-3,3,-5.2
ANT-DIA-b7f58f21-3,4,-5.2
ANT-DIA-b7f58f21-3,5,-5.2
ANT-DIA-b7f58f21-3,6,-5.1
ANT-DIA-b7f58f21-3,7,-5.1
ANT-DIA-b7f58f21-3,8,-5.1
ANT-DIA-b7f58f21-3,9,-5.0
ANT-DIA-b7f58f21-3,10,-5.0
LON-WEI-0a73fcb8-4,1,-7.1
LON-WEI-0a73fcb8-4,2,-6.9
LON-WEI-0a73fcb8-4,3,-6.8
LON-WEI-0a73fcb8-4,4,-6.7
LON-WEI-0a73fcb8-4,5,-6.6
LON-WEI-0a73fcb8-4,6,-6.6
LON-WEI-0a73fcb8-4,7,-6.6
LON-WEI-0a73fcb8-4,8,-6.6
LON-WEI-0a73fcb8-4,9,-6.5
LON-WEI-0a73fcb8-4,10,-6.5
MAR-UNI-c84db004-11,1,-6.1
MAR-UNI-c84db004-11,2,-6.1
MAR-UNI-c84db004-11,3,-6.1
MAR-UNI-c84db004-11,4,-5.9
MAR-UNI-c84db004-11,5,-5.7
MAR-UNI-c84db004-11,6,-5.7
MAR-UNI-c84db004-11,7,-5.6
MAR-UNI-c84db004-11,8,-5.6
MAR-UNI-c84db004-11,9,-5.6
MAR-UNI-c84db004-11,10,-5.6
WAR-XCH-b72a1bbc-15,1,-6.9
WAR-XCH-b72a1bbc-15,2,-6.7
WAR-XCH-b72a1bbc-15,3,-6.7
WAR-XCH-b72a1bbc-15,4,-6.6
WAR-XCH-b72a1bbc-15,5,-6.5
WAR-XCH-b72a1bbc-15,6,-6.4
WAR-XCH-b72a1bbc-15,7,-6.4
WAR-XCH-b72a1bbc-15,8,-6.4
WAR-XCH-b72a1bbc-15,9,-6.4
WAR-XCH-b72a1bbc-15,10,-6.3
JOH-UNI-a5c0a47e-2,1,-6.6
JOH-UNI-a5c0a47e-2,2,-6.3
JOH-UNI-a5c0a47e-2,3,-5.9
JOH-UNI-a5c0a47e-2,4,-5.8
JOH-UNI-a5c0a47e-2,5,-5.8
JOH-UNI-a5c0a47e-2,6,-5.8
JOH-UNI-a5c0a47e-2,7,-5.7
JOH-UNI-a5c0a47e-2,8,-5.7
JOH-UNI-a5c0a47e-2,9,-5.7
JOH-UNI-a5c0a47e-2,10,-5.7
BEN-DND-93268d01-4,1,-6.3
BEN-DND-93268d01-4,2,-6.2
BEN-DND-93268d01-4,3,-5.9
BEN-DND-93268d01-4,4,-5.9
BEN-DND-93268d01-4,5,-5.8
BEN-DND-93268d01-4,6,-5.7
BEN-DND-93268d01-4,7,-5.6
BEN-DND-93268d01-4,8,-5.6
BEN-DND-93268d01-4,9,-5.6
BEN-DND-93268d01-4,10,-5.6
JAR-IMP-ed466bb3-13,1,-8.0
JAR-IMP-ed466bb3-13,2,-7.7
JAR-IMP-ed466bb3-13,3,-7.5
JAR-IMP-ed466bb3-13,4,-7.4
JAR-IMP-ed466bb3-13,5,-7.3
JAR-IMP-ed466bb3-13,6,-7.1
JAR-IMP-ed466bb3-13,7,-7.1
JAR-IMP-ed466bb3-13,8,-7.0
JAR-IMP-ed466bb3-13,9,-7.0
JAR-IMP-ed466bb3-13,10,-6.8
JAG-UCB-a3ef7265-10,1,-6.3
JAG-UCB-a3ef7265-10,2,-6.2
JAG-UCB-a3ef7265-10,3,-6.1
JAG-UCB-a3ef7265-10,4,-6.0
JAG-UCB-a3ef7265-10,5,-5.8
JAG-UCB-a3ef7265-10,6,-5.8
JAG-UCB-a3ef7265-10,7,-5.7
JAG-UCB-a3ef7265-10,8,-5.7
JAG-UCB-a3ef7265-10,9,-5.6
JAG-UCB-a3ef7265-10,10,-5.6
NAU-LAT-8502cac5-9,1,-6.6
NAU-LAT-8502cac5-9,2,-6.5
NAU-LAT-8502cac5-9,3,-6.4
NAU-LAT-8502cac5-9,4,-6.3
NAU-LAT-8502cac5-9,5,-6.2
NAU-LAT-8502cac5-9,6,-6.2
NAU-LAT-8502cac5-9,7,-6.1
NAU-LAT-8502cac5-9,8,-6.1
NAU-LAT-8502cac5-9,9,-6.1
NAU-LAT-8502cac5-9,10,-6.1
CHR-SOS-363cfb78-1,1,-5.7
CHR-SOS-363cfb78-1,2,-5.7
CHR-SOS-363cfb78-1,3,-5.7
CHR-SOS-363cfb78-1,4,-5.6
CHR-SOS-363cfb78-1,5,-5.6
CHR-SOS-363cfb78-1,6,-5.6
CHR-SOS-363cfb78-1,7,-5.5
CHR-SOS-363cfb78-1,8,-5.4
CHR-SOS-363cfb78-1,9,-5.4
CHR-SOS-363cfb78-1,10,-5.4
BEN-BAS-f6e16b09-1,1,-7.5
BEN-BAS-f6e16b09-1,2,-7.4
BEN-BAS-f6e16b09-1,3,-7.0
BEN-BAS-f6e16b09-1,4,-6.9
BEN-BAS-f6e16b09-1,5,-6.9
BEN-BAS-f6e16b09-1,6,-6.8
BEN-BAS-f6e16b09-1,7,-6.8
BEN-BAS-f6e16b09-1,8,-6.7
BEN-BAS-f6e16b09-1,9,-6.7
BEN-BAS-f6e16b09-1,10,-6.7
WAR-XCH-b72a1bbc-4,1,-5.8
WAR-XCH-b72a1bbc-4,2,-5.7
WAR-XCH-b72a1bbc-4,3,-5.7
WAR-XCH-b72a1bbc-4,4,-5.7
WAR-XCH-b72a1bbc-4,5,-5.6
WAR-XCH-b72a1bbc-4,6,-5.6
WAR-XCH-b72a1bbc-4,7,-5.5
WAR-XCH-b72a1bbc-4,8,-5.5
WAR-XCH-b72a1bbc-4,9,-5.5
WAR-XCH-b72a1bbc-4,10,-5.5
GER-UNI-caecb3b0-1,1,-8.3
GER-UNI-caecb3b0-1,2,-8.2
GER-UNI-caecb3b0-1,3,-8.2
GER-UNI-caecb3b0-1,4,-8.0
GER-UNI-caecb3b0-1,5,-8.0
GER-UNI-caecb3b0-1,6,-7.9
GER-UNI-caecb3b0-1,7,-7.8
GER-UNI-caecb3b0-1,8,-7.7
GER-UNI-caecb3b0-1,9,-7.6
GER-UNI-caecb3b0-1,10,-7.5
WAR-XCH-eb7b662f-5,1,-5.4
WAR-XCH-eb7b662f-5,2,-5.3
WAR-XCH-eb7b662f-5,3,-5.3
WAR-XCH-eb7b662f-5,4,-5.3
WAR-XCH-eb7b662f-5,5,-5.2
WAR-XCH-eb7b662f-5,6,-5.2
WAR-XCH-eb7b662f-5,7,-5.1
WAR-XCH-eb7b662f-5,8,-5.1
WAR-XCH-eb7b662f-5,9,-5.1
WAR-XCH-eb7b662f-5,10,-5.0
PAT-UNK-b2d83456-1,1,-6.7
PAT-UNK-b2d83456-1,2,-6.1
PAT-UNK-b2d83456-1,3,-6.1
PAT-UNK-b2d83456-1,4,-6.0
PAT-UNK-b2d83456-1,5,-5.9
PAT-UNK-b2d83456-1,6,-5.9
PAT-UNK-b2d83456-1,7,-5.9
PAT-UNK-b2d83456-1,8,-5.9
PAT-UNK-b2d83456-1,9,-5.9
PAT-UNK-b2d83456-1,10,-5.8
LON-WEI-b8d98729-45,1,-6.5
LON-WEI-b8d98729-45,2,-6.3
LON-WEI-b8d98729-45,3,-6.3
LON-WEI-b8d98729-45,4,-6.3
LON-WEI-b8d98729-45,5,-6.2
LON-WEI-b8d98729-45,6,-6.2
LON-WEI-b8d98729-45,7,-6.1
LON-WEI-b8d98729-45,8,-6.1
LON-WEI-b8d98729-45,9,-6.1
LON-WEI-b8d98729-45,10,-6.0
DAR-DIA-23aa0b97-11,1,-6.9
DAR-DIA-23aa0b97-11,2,-6.8
DAR-DIA-23aa0b97-11,3,-6.7
DAR-DIA-23aa0b97-11,4,-6.6
DAR-DIA-23aa0b97-11,5,-6.5
DAR-DIA-23aa0b97-11,6,-6.4
